item_id,name,class,weight,defense,required_level,slot,jobs,description,item_script,npc_page
5147,Baseball Cap,Upper Headgear,20,3,None,0,All,Cap worn to keep the sun from your eyes.,"{},{},{}",Headgears 1
5057,Black Cat Ears,Upper Headgear,20,2,45,0,All,A hairband with tiny little black ears attached. It's a copy of the hairband of Wickebine in Morocc.,"{},{},{}",Headgears 1
5076,Beanie,Upper Headgear,35,2,None,0,All,A knit beanie that protects from the cold. \nMakes some wearers look cute and gives other wearers street cred.\nLuk +1,"{ bonus bLuk,1; },{},{}",Headgears 1
5236,Blue Beanie,Upper Headgear,35,2,None,0,All,"A hat woven out of yarn that keeps the head warm, but is mostly worn because of its fashionable look.\nLuk +1","{ bonus bLuk,1; },{},{}",Headgears 1
5235,Brown Beanie,Upper Headgear,35,2,None,0,All,"A hat woven out of yarn that keeps the head warm, but is mostly worn because of its fashionable look.\nLuk +1","{ bonus bLuk,1; },{},{}",Headgears 1
5237,Pink Beanie,Upper Headgear,35,2,None,0,All,"A hat woven out of yarn that keeps the head warm, but is mostly worn because of its fashionable look.\nLuk +1","{ bonus bLuk,1; },{},{}",Headgears 1
5382,Bell Ribbon,Upper Headgear,20,3,None,1,All,A cute ribbon adorned with jingling bells.\nVit +1\nEnables use of Level 1 Angelus.,"{ bonus bVit,1; skill ""AL_ANGELUS"",1; },{},{}",Headgears 1
5065,Blue Fish,Upper Headgear,50,2,50,0,All,A headgear which looks just like a scrumptious fish.\nIt even has the same smell!\nIncrease 10% damage against Fish monsters.,"{ bonus2 bAddRace,RC_Fish,10; },{},{}",Headgears 1
5052,Blue Hairband,Upper Headgear,15,1,None,0,All,A blue colored hair band worn with a rakish slant.,"{},{},{}",Headgears 1
2296,Binoculars,Middle Headgear,10,1,50,0,Archer   Hunter   Bard / Dancer,A special optical tool that enables one to observe objects from a great distance.\nDex +1,"{ bonus bDex,1; },{},{}",Headgears 1
5129,Bird Nest,Upper Headgear,40,1,50,0,All,A mysterious bird nest that makes the wearer feel like flying.\nAgi +2\nReduces damage from Brute monster by 10%.,"{ bonus bAgi,2; bonus2 bSubRace,RC_Brute,10; bonus2 bSubRace,RC_Player_Doram,10; },{},{}",Headgears 1
5102,Blank Eyes,Middle Headgear,10,0,None,0,All,A special item that makes its wearer look absent-minded.,"{},{},{}",Headgears 1
5040,Blush,Middle Headgear,10,0,None,0,All,Two red dots that can be worn on the face to give a blushing impression.,"{},{},{}",Headgears 1
5109,Red Bonnet,Upper Headgear,40,2,None,0,All,"A bonnet favored by women of nobility.\nWearing it supposedly causes inexplicable cravings for tea, but that might just be an aristocratic thing.","{},{},{}",Headgears 1
5016,Boy's Cap,Upper Headgear,10,2,None,0,All except Novice,A black cap that is usually worn by boys attending schools that require uniforms.,"{},{},{}",Headgears 1
5110,Baby Pacifier,Lower Headgear,5,0,None,0,All,A hat that looks just like a pacifier.\nWearing it really brings you back to the good old days of hanging in the crib.,"{},{},{}",Headgears 1
5191,Black Ribbon,Upper Headgear,10,1,None,1,All,A long piece of black satin tied together into a neat little ribbon that wards off harmful magic.\nInt +1\nMdef +3,"{ bonus bInt,1; bonus bMdef,3; },{},{}",Headgears 1
5169,Bride Mask,Upper & Middle Headgear,50,4,40,1,All,"A white mask with red blush that is worn by the actor playing the brinde in a Korean play.\n[TaeKwon Class]\nLuk +2, Critical +5","{ if(BaseClass==Job_Taekwon){ bonus bLuk,2; bonus bCritical,5; } },{},{}",Headgears 1
5034,Bulb Band,Upper Headgear,50,0,None,0,All except Novice,A hair band with a light bulb attached to it.,"{},{},{}",Headgears 1
2214,Bunny Band,Upper Headgear,10,2,None,0,All,"A hairband that gives one the appearance of having rabbit ears, a lasting symbol of extremely good luck.\nLuk +2","{ bonus bLuk,2; },{},{}",Headgears 1
5086,Alarm Mask,Middle & Lower Headgear,10,2,None,0,All except Novice,A mask which resembles the face of an Alarm monster.\nIncreases resistance against Blind status by 50%.,"{ bonus2 bResEff,Eff_Blind,5000; },{},{}",Headgears 1
5175,Censor Bar,Middle Headgear,10,0,None,0,All,"It's basically a black mosaic to place over your eyes to totally protect your identity. Careful though, it doesn't mask your voice.\nIncrease resistance against Curse status by 5%.\nMdef +1\nHit -5","{ bonus2 bResEff,Eff_Curse,500; bonus bMdef,1; bonus bHit,-5; },{},{}",Headgears 1
5080,Crown of Ancient Queen,Upper Headgear,40,4,45,0,All,A hair ornament worn by ancient queens.,"{},{},{}",Headgears 1
5024,Cake Hat,Upper Headgear,100,1,None,0,All,"A birthday cake replica that won't fit a Dancer inside, but it's almost just as much fun to wear it on top of your head. Almost.","{},{},{}",Headgears 1
5028,Candle,Upper Headgear,15,0,None,0,All,"A large, slightly used candlestick that can be worn on the head by via a strap attachment.","{},{},{}",Headgears 1
5200,Coppola,Upper Headgear,30,0,None,0,All,"Marco's favorite hat. Andrea has written the words ""His memories to you . . ."" on the inside of the hat.","{},{},{}",Headgears 1
5184,Captain's Hat,Upper Headgear,50,4,30,0,All except Novice,"Once owned by a famous captain, this hat is now a symbol of leadership and courage.\nReduces damage taken from Water elemental attack by 5%.","{ bonus2 bSubEle,Ele_Water,5; },{},{}",Headgears 1
5359,Captain's Hat,Upper Headgear,30,3,60,1,All,"Hat of a captain who sails the seven seas.\nIncrease physical ranged attack power by 7%.\nMaxHP +100, Dex +1","{ bonus bDex,1; bonus bLongAtkRate,7; bonus bMaxHP,100; },{},{}",Headgears 1
5214,Moonlight Flower Hat,Upper & Middle Headgear,20,3,None,0,All,A hat inspired by the adorable Moonlight Flower.\nBe sure to hand-wash to prolong the soft Nine Tail Fur lining.\nDex +2\nRandomly autocasts Level 1 Increase Agility when dealing physical attack.,"{ bonus bDex,2; bonus3 bAutoSpell,""AL_INCAGI"",1,50; },{},{}",Headgears 1
5026,Chef Hat,Upper Headgear,30,1,50,0,All except Novice,A hat designed to cool a chef's head in a hot kitchen.\nDex +1,"{ bonus bDex,1; },{},{}",Headgears 1
5142,Crescent Helm,Upper & Middle Headgear,300,8,50,0,Swordman   Merchant   Knight   Blacksmith   Crusader   Alchemist,"A sturdy, decorative hat worn by military generals in a far east country.\nVit +1\nReduces physical damage taken from Demihuman monsters by 5%.","{ bonus bVit,1; bonus2 bSubRace,RC_DemiHuman,5; bonus2 bSubRace,RC_Player_Human,5; },{},{}",Headgears 1
5283,Chick Hat,Upper Headgear,10,1,10,0,All,A hat adorned with a cute chick that brings feelings of joy to those that see it hopping.\nLuk +2\nMaxHP +50\nMaxSP +50\nEnables Level 2 Double Attack.\nReduces damage taken from Demihuman and Brute monsters by 3%.\nUnrefineable,"{ bonus bLuk,2; bonus bMaxHP,50; bonus bMaxSP,50; skill ""TF_DOUBLE"",2; bonus2 bSubRace,RC_DemiHuman,3; bonus2 bSubRace,RC_Player_Human,3; },{},{}",Headgears 1
5260,Cookie Hat,Upper Headgear,50,2,None,0,All,"A Hat worn by Cookie Xmas, 'the idol of Toy Dungeon'. It covers the ears to protect from cold weather.\nAgi +1\nPerfect Dodge +5\nIncreases critical attack damage by 5%.","{ bonus bAgi,1; bonus bFlee2,5; bonus bCritAtkRate,5; },{},{}",Headgears 1
5075,Cowboy Hat,Upper Headgear,50,4,None,0,All,"A cowboy hat. It makes men look manlier, and is cute when worn by women.","{},{},{}",Headgears 1
5048,Crescent Hairpin,Upper Headgear,10,0,None,0,All,A hairpin in the shape of a crescent.,"{},{},{}",Headgears 1
5036,Cross Hat,Upper Headgear,25,1,10,0,All except Novice,A hairband with a cross mounted on top.,"{},{},{}",Headgears 1
5135,Cyclop's Eye,Middle Headgear,20,0,75,0,All except Novice,An unique eye protector that seems to increase the wearer's spiritual energy.\nMaxSP +50,"{ bonus bMaxSP,50; },{},{}",Headgears 1
5181,Helm of Darkness,Upper & Middle Headgear,50,3,50,1,Swordman   Merchant   Thief   Knight   Blacksmith   Assassin   Crusader   Rogue   Alchemist,A forboding helmet that hides part of the face. People wearing this have the appearance of Beelzebub.\nStr +2,"{ bonus bStr,2; },{},{}",Headgears 1
5108,Renown Detective's Cap,Upper Headgear,35,3,None,1,All,This type of cap is known to have been worn by a world famous detective.\nIt feels like a Pipe would perfectly complement this cap for some reason.,"{},{},{}",Headgears 1
5254,Devilring Hat,Upper Headgear,50,1,20,1,All,"A hat made to resemble a little dead deviling which has charming side-spreaded eyes.\nAtk +2%, Matk + 2%\nIncreases experience gained from defeating monsters by 2%.\n[Refine Rate +7 or higher]\nIncreases experience gained from defeating monsters by 1%.","{ bonus bStr,1; bonus bCritical,3; bonus2 bSubRace,RC_Angel,-20; if(getrefine()>=6){ bonus bCritical,getrefine()-5; } },{},{}",Headgears 1
5038,Deviruchi Hat,Upper Headgear,80,2,64,0,All except Novice,A hat created in the form of the Deviruchi monster.\nStr +1\nInt +1,"{ bonus bStr,1; bonus bInt,1; },{},{}",Headgears 2
5229,Brown Deviruchi Hat,Upper Headgear,80,2,64,0,All except Novice,"A cute hat shaped like a Deviruchi that brings happiness to its wearer and onlookers.\nStr +1, Int +1","{ bonus bStr,1; bonus bInt,1; },{},{}",Headgears 2
5227,Red Deviruchi Hat,Upper Headgear,80,2,64,0,All except Novice,"A cute hat shaped like a Deviruchi that brings happiness to its wearer and onlookers.\nStr +1, Int +1","{ bonus bStr,1; bonus bInt,1; },{},{}",Headgears 2
5228,Gray Deviruchi Hat,Upper Headgear,80,2,64,0,All except Novice,"A cute hat shaped like a Deviruchi that brings happiness to its wearer and onlookers.\nStr +1, Int +1","{ bonus bStr,1; bonus bInt,1; },{},{}",Headgears 2
5186,Geographer Band,Upper Headgear,50,1,30,0,All,A Geographer which is made for decorative purposes as a headgear.\nInt +1\nRandomly autocasts Level 1 Heal on wearer when receiving melee physical attack.\nUnrefineable,"{ bonus bInt,1; bonus3 bAutoSpellWhenHit,""AL_HEAL"",1,50; },{},{}",Headgears 2
5091,Decorative Golden Bell,Upper & Middle Headgear,20,2,35,0,All except Novice,A hair accessory which is made after Sohee's golden bell.,"{},{},{}",Headgears 2
5082,Decorative Mushroom,Upper Headgear,10,2,None,0,All,"A headgear which you can obtain by chance when you put your head for a prolonged period of time in a dark, damp place.","{},{},{}",Headgears 2
2273,Doctor Band,Upper Headgear,10,3,None,0,All except Novice,A headband worn by doctors in the past during medical examinations.\nInt +1,"{ bonus bInt,1; },{},{}",Headgears 2
5258,Afro Wig,Upper & Middle Headgear,10,0,None,1,All,A fluffy afro style wig. Wearing it makes you want to party like it's 1999.\nRandomly casts Level 1 First Aid on wearer when receiving physical attack.\nReduces damage taken from Neutral elemental attack by 1%.,"{ bonus3 bAutoSpellWhenHit,""NV_FIRSTAID"",1,300; bonus2 bSubEle,Ele_Neutral,1; },{},{}",Headgears 2
5198,Evolved Drooping Bunny,Upper Headgear,10,1,None,0,All,A cute bunny doll which can be worn on top of the head.\nDex +1\nFlee +2,"{ bonus bDex,1; bonus bFlee,2; },{},{}",Headgears 2
5058,Drooping Cat,Upper Headgear,50,1,None,0,All except Novice,A cute kitty doll which can be worn on top of the head.\nMdef +15\nTolerance against Curse +30%,"{ bonus bMdef,15; bonus2 bResEff,Eff_Curse,3000; },{},{}",Headgears 2
5233,Blue Drooping Cat,Upper Headgear,50,1,None,0,All except Novice,"A cute doll that you can carry on your head. If you think you hear it meow or feel it move, it's just an illusion.\nMdef +15\nIncreases resistance against Curse status by 30%.","{ bonus2 bResEff,Eff_Curse,3000; bonus bMdef,15; },{},{}",Headgears 2
5231,Brown Drooping Cat,Upper Headgear,50,1,None,0,All except Novice,"A cute doll that you can carry on your head. If you think you hear it meow or feel it move, it's just an illusion.\nMdef +15\nIncreases resistance against Curse status by 30%.","{ bonus2 bResEff,Eff_Curse,3000; bonus bMdef,15; },{},{}",Headgears 2
5232,Pink Drooping Cat,Upper Headgear,50,1,None,0,All except Novice,"A cute doll that you can carry on your head. If you think you hear it meow or feel it move, it's just an illusion.\nMdef +15\nIncreases resistance against Curse status by 30%.","{ bonus2 bResEff,Eff_Curse,3000; bonus bMdef,15; },{},{}",Headgears 2
5230,Gray Drooping Cat,Upper Headgear,50,1,None,0,All except Novice,"A cute doll that you can carry on your head. If you think you hear it meow or feel it move, it's just an illusion.\nMdef +15\nIncreases resistance against Curse status by 30%.","{ bonus2 bResEff,Eff_Curse,3000; bonus bMdef,15; },{},{}",Headgears 2
5234,Yellow Drooping Cat,Upper Headgear,50,1,None,0,All except Novice,"A cute doll that you can carry on your head. If you think you hear it meow or feel it move, it's just an illusion.\nMdef +15\nIncreases resistance against Curse status by 30%.","{ bonus2 bResEff,Eff_Curse,3000; bonus bMdef,15; },{},{}",Headgears 2
5253,Lif Doll Hat,Upper Headgear,20,1,20,1,All,A hat of a drooping Lif doll. It was made by a hatter who could not obtain a real Lif of her own.\nInt +1\nReduces Def based on the refine level.\nIncreases Mdef based on the refine level.,"{ bonus bInt,1; bonus bMdef,getrefine(); bonus bDef,getrefine()*-1; },{},{}",Headgears 2
5252,Drooping Ninetail,Upper Headgear,30,1,20,0,All,"A hat made to resemble the monster, Nine tails. proud of its great heat-retainablity.\nAgi +1, Dex +1\nRandomly autocats Level 1 Gloria when receiving physical attack.","{ bonus bAgi,1; bonus bDex,1; bonus3 bAutoSpellWhenHit,""PR_GLORIA"",1,30; },{},{}",Headgears 2
2283,Ear Muffs,Upper Headgear,20,3,None,0,All,"Ear coverings, linked by a headband, that protect the wearer's ears from the cold.\nIncreases resistance to Curse status by 10%.","{ bonus2 bResEff,Eff_Curse,1000; },{},{}",Headgears 2
5243,Shafka,Upper & Middle Headgear,80,2,None,1,All,A hat made from various animal fur. They keep your ears warm in the bitter cold of winter.\nIncrease resistance against Frozen status by 10%.,"{ bonus2 bResEff,Eff_Freeze,1000; },{},{}",Headgears 2
5259,Elephant Hat,Upper Headgear,50,3,None,0,All,"A hat made in the form of a big animal found in one oriental country.\nAlthough it is very big,this animal is innocent and kind.\nIt suck in and sprinkle water by using its nose.\nVit +1\nRandomly autocasts Level 3 Water Ball when dealing physical attack.\nEnables use of Level 1 Aqua Benedicta.","{ bonus bVit,1; bonus3 bAutoSpell,""WZ_WATERBALL"",3,10; skill ""AL_HOLYWATER"",1; },{},{}",Headgears 2
5205,Emperor's Laurel Crown,Upper & Middle Headgear,100,3,None,0,All,"An honorable Laurel Wreath that was given to a winner by an emperor of some country in ancient days.\nAll Stats +1, Mdef +3","{ bonus bAllStats,1; bonus bMdef,3; },{},{}",Headgears 2
5068,Evil Wing Ears,Middle Headgear,10,1,70,0,All,An ear accessory made with Evil Wing.\nStr +1,"{ bonus bStr,1; },{},{}",Headgears 2
5304,Cap Of Blindness,"U, M & L Headgear",80,4,50,1,All,The purple T-shirt which fit into shadowed human face.\nIncreases resistance against Curse status by 7%.\nPrevents Blind status.\nA small chance to cast Evil Land on you when you receive physical attack.,"{bonus4 bAutoSpellWhenHit,""NPC_EVILLAND"",5,5,1; bonus2 bResEff,Eff_Curse,700; bonus2 bResEff,Eff_Blind,10000;},{},{}",Headgears 2
5207,Angel Blessing,Upper Headgear,10,0,None,0,All,A dazzling beautiful golden ring which is blessed by an angel. It is given to a great believer.\nLuk +1\nReduces damage taken from Holy element attack by 5%.\nUnrefineable,"{ bonus bLuk,1; bonus2 bSubEle,Ele_Holy,5; },{},{}",Headgears 2
5333,Radio Antenna,Upper Headgear,150,1,60,0,All,"A hat designed to transmit electric waves. Sometimes it receives electric waves from external worlds.\nMDEF + 5, CRIT + 5, FLEE + 5\nEnables use of Level 1 Lightning Bolt.\nAdds a chance autocast Level 5 Thunder Storm when receive physical attack.","{ bonus bMdef,5; bonus bCritical,5; bonus bFlee,5; skill ""MG_LIGHTNINGBOLT"",1; bonus4 bAutoSpellWhenHit,""MG_THUNDERSTORM"",5,30,1; },{},{}",Headgears 2
5312,Ayothaya King's Hat,Upper Headgear,10,5,None,1,Swordman   Merchant   Thief   Knight   Blacksmith   Assassin   Crusader   Rogue   Alchemist,"An ancient helm of Ayothaya's fighter. The braver actually can wear.\nStr +1, Increase damage on DemiHuman monster by 5%.","{ bonus bStr,1; bonus2 bAddRace,RC_DemiHuman,5; bonus2 bAddRace,RC_Player_Human,5; },{},{}",Headgears 2
5379,Balloon Hat,Upper Headgear,80,3,50,1,All,A large knitted hat that can be used to conceal long hair.\nMagic attack increases with each refine level.,"{ bonus bMdef,2; bonus bMatkRate,2+(getrefine()/2); },{},{}",Headgears 2
5416,Beer Hat,Upper Headgear,60,2,18,0,All except Novice,"A mug of beer sits precariously on your head. Drinking severely impairs your ability to steer mounts or operate machinery.\n If refined to 7 or higher, adds 100% resistance to Confusion status.\nCan be traded, stored, and vended.","{ bonus bFlee2,5; skill ""SM_RECOVERY"",3; skill ""MG_SRECOVERY"",3; },{},{}",Headgears 2
5401,Black Frame Glasses,Middle Headgear,20,1,70,0,All,"Black Framed Glasses. The fashion trend has been changing the picture framed glasses, you will also try changing?\nInt +1, Mdef +2","{ bonus bInt,1; bonus bMdef,2; bonus bUnbreakableHelm, 0; },{},{}",Headgears 2
5427,Black Tea Kochakaden Hat,Upper Headgear,10,2,None,1,All,Black Tea Kochakaden Hat\nAgi +1,"{ bonus bAgi,1; },{},{}",Headgears 2
5404,Blue Ribbon,Upper Headgear,10,1,45,1,All,The symbol of the honor student!\nAuto casts Lv2 Improve Concentration with low chances when physically attacked.,"{ bonus4 bAutoSpellWhenHit,""AC_CONCENTRATION"",2,7,0; },{},{}",Headgears 2
5800,Blush of Groom,Middle Headgear,5,0,None,0,All,A blushing impression of a bridegroom.\nReduces damage from DemiHuman monster by 3%.,"{ bonus2 bSubRace,RC_DemiHuman,3; bonus2 bSubRace,RC_Player_Human,3; },{},{}",Headgears 2
5429,Dokkaebi Hat,Upper Headgear,10,2,None,1,All,A cute hat based of Dokebi monster.\nIncreases HP and SP recovery rate by 5%.,"{ bonus bHPrecovRate, 5; bonus bSPrecovRate, 5; },{},{}",Headgears 2
5338,Battlefield Recruiter Hat,Upper Headgear,70,2,10,0,All,A helm with boyfriend wanted ad on it. Only use this in severe cases of loneliness!,"{},{},{}",Headgears 2
5300,Bullock Helm,Upper Headgear,80,2,45,0,All except Novice,Fighter hat of legend that was decorated with an emerald. Only the truly brave can wear it.\nMaxHP +100,"{ bonus bMaxHP,100; },{},{}",Headgears 2
5378,Bunny Ears Hat,Upper Headgear,30,0,None,0,All,"A cute Red Top hat with Bunny Ears!\nAn energetic Bunny Band, perfect for a magic show!\nAgi +3\nAdds a chance to cast Lv 5 Increase Agi when user receives physical damage.","{ bonus bAgi,3; bonus3 bAutoSpellWhenHit,""AL_INCAGI"",5,10; },{},{}",Headgears 2
5414,Campfire Hat,Upper Headgear,30,2,None,0,All,A goold 'ol summer campfire\nIncreases resistance to Fire Element by 10%.\nAdds a chance autocast Level 5 Fire Ball on enemy when the user receives Physical Damage.,"{ bonus2 bSubEle,Ele_Fire,10; bonus4 bAutoSpellWhenHit,""MG_FIREBALL"",5,100,1; },{},{}",Headgears 2
5307,Tropical Fruit Hat,Upper Headgear,40,3,None,0,All,A hat made with tropical fruits. It looks delicious.\nMdef +5\nAuto casts Charming Wink with low chance when attacked.,"{ bonus bMdef,3; bonus3 bAutoSpellWhenHit,""DC_WINKCHARM"",1,50; },{},{}",Headgears 2
5431,Chicken Hat,Upper Headgear,100,0,30,1,All,Chicken is on your head! It might have alarm option for waking you up in the morning.\nHas a 3% chance to auto casting Loud Exclamation Level 1 when attacking.\nAttack Speed +5%.,"{ bonus3 bAutoSpell,""MC_LOUD"",1,30; bonus bAspdRate,5; },{},{}",Headgears 2
5341,Glaris Doll Hat,Upper Headgear,50,0,60,1,All,"So hot! A headgear with the figure of Kafra Glaris! Fascinated by her mature appearance, her advocates call her a teacher.\nDecreases 5% damage from Demihuman monsters.\nRecovers HP 50 when a monster is killed by magical attack.\nUnrefineable","{ bonus2 bSubRace,RC_DemiHuman,5; bonus2 bSubRace,RC_Player_Human,5; bonus bInt,2; bonus bMagicHPGainValue,50; },{},{}",Headgears 2
5131,Close Helmet,"U, M & L Headgear",120,8,75,0,Swordman   Knight   Crusader,"An iron mask which covers the whole face. By covering the whole face, it can protect the wearer from critical attacks. It helps to improve defense.\nVit +3\nMaxHP +3%","{ bonus bVit,3; bonus bMaxHPrate,3; },{},{}",Headgears 2
5417,Crown Parrots,Upper Headgear,20,1,None,1,All,A Crown Parrot hat on your head. A chatter parrot that never get tired.\nInt +1\nAdds immunity against Silence status.\nAutomatically cast Level 1 Scream by chance when struck by Physical attack.\nUnrefineable,"{ bonus bInt,1; bonus2 bResEff,Eff_Silence,10000; bonus3 bAutoSpell,""DC_SCREAM"",1,50; },{},{}",Headgears 2
5373,Dark Randgris Helm,Upper & Middle Headgear,30,2,None,1,All,"A helm laced with the power of Valkyrie Randgris. It helps its wearer to concentrate better.\nDex +3, Mdef +1","{ bonus bDex,3; bonus bMdef,1; },{},{}",Headgears 2
5369,Wings of Darkness,Upper Headgear,10,1,None,0,All,The dark feathers collected to make this mysterious headdress.\nAdds a low chance of dropping Undead elemental Scroll when killing a monster.,"{ bonus2 bAddMonsterDropItem,12279,300; },{},{}",Headgears 2
5340,Defolty Doll Hat,Upper Headgear,50,0,60,1,All,"So hot! A headgear with the figure of Kafra Defolty! Numerous users are using Kafra storage more than 20 times a day, fascinated by her smiling face.\nDecreases 5% damage from Demihuman monsters.\nAutocasts Lv 10 Angelus when physicall attacked within short range.\nUnrefineable","{ bonus2 bSubRace,RC_DemiHuman,5; bonus2 bSubRace,RC_Player_Human,5; bonus bStr,2; bonus3 bAutoSpellWhenHit,""AL_ANGELUS"",10,20; },{},{}",Headgears 2
5313,Diadem,Upper & Middle Headgear,10,3,None,1,All,A crown decorate with jewel of love. Rumor who wear it will meet real love.\nInt  1\nMatk +3%\nReduce cast time by 3%.,"{ bonus bInt,1; bonus bMatkRate,3; bonus bCastrate,-3; },{},{}",Headgears 2
5258,Afro Wig,Upper & Middle Headgear,10,0,None,1,All,A fluffy afro style wig. Wearing it makes you want to party like it's 1999.\nRandomly casts Level 1 First Aid on wearer when receiving physical attack.\nReduces damage taken from Neutral elemental attack by 1%.,"{ bonus3 bAutoSpellWhenHit,""NV_FIRSTAID"",1,300; bonus2 bSubEle,Ele_Neutral,1; },{},{}",Headgears 2
5292,Dragon Skull,Upper Headgear,80,5,50,0,All,A helmet made from a dragon's skull that provides protections against dragons.\nReduces damage taken from Dragon monsters by 5%.,"{ bonus2 bSubRace,RC_Dragon,5; },{},{}",Headgears 2
5396,Jasper Crest,Upper Headgear,70,2,None,1,All,"A beautiful headgear with gold ornament and a lovely gemstone in the middle.\nDEX + 3, VIT + 1","{ bonus bDex,3; bonus bVit,1; },{},{}",Headgears 2
5146,Elephant Hat,Upper Headgear,50,0,None,0,All,"A headdress shaped like a magnificent elephant.\nEnables use of Level 1 Water Ball.\nIf refined to 9 or higher, has a chance of activating Greed while physically attacking.\nVit +1","{ bonus bVit,1; bonus2 bSubRace,RC_Brute,7; skill ""WZ_WATERBALL"",1; },{},{}",Headgears 3
5282,Europe Baseball Cap,Upper Headgear,20,3,None,1,All,. . .,"{},{},{}",Headgears 3
5247,Satanic Helm,Upper Headgear,70,4,None,0,All,"Agi +1, Luk +1\nMdef +3\nReduces damage from Demon monsters by 3%.","{ bonus bAgi,1; bonus bLuk,1; bonus bMdef,3; bonus2 bSubRace,RC_Demon,5; },{},{}",Headgears 3
5364,Evil Snake Lord Hat,Upper Headgear,50,2,60,1,All,"A perfectly balanced hat worn by the Evil Snake Lord.\nThe yin yang symbol and magic orbs harness the balance necessary to wear this hat.\nStr +1, Int +1, Agi +2","{ bonus bStr,1; bonus bInt,1; bonus bAgi,2; },{},{}",Headgears 3
5210,Flapping Angel Wing,Upper Headgear,30,1,10,0,All,"A headgear which looks like an angel flapping its wing.\nIt make you feel dizzy when you wear it, but also makes your body feel light.\nInt +1, Agi +1\nReduces after attack delay by 3%.\nReduces cast time by 3%.","{ bonus bCastrate,-3; bonus bAspdRate,3; bonus bInt,1; bonus bAgi,1; },{},{}",Headgears 3
5047,Fashionable Glasses,Upper Headgear,10,0,None,0,All except Novice,A pair of fashionable sunglasses.,"{},{},{}",Headgears 3
5170,Feather Beret,Upper Headgear,60,1,None,0,All except Novice,"A fancy, feathered cap made of smooth, sky blue material.\nMdef +1\nReduces damage from Demihuman monsters by 10%.","{ bonus bMdef,1; bonus2 bSubRace,RC_DemiHuman,10; bonus2 bSubRace,RC_Player_Human,10; },{},{}",Headgears 3
5380,Fish Head Hat,Upper Headgear,40,1,None,0,All,A gaping fish head fashioned into a hat.\nA nasty stench is released whenever it opens its mouth.\nAdds a low chance of automatically casting Level 1 Frost Weapon with each physical attack.,"{ bonus3 bAutoSpell,""SA_FROSTWEAPON"",1,5; },{},{}",Headgears 3
5303,Flower Crown,Upper Headgear,30,1,None,0,All,"Wreath, assembled during the day of summer solstice. It protects owner from the evil forces.\nMdef +5\nMaxSP +50","{ bonus bMdef,3; bonus bMaxHP,50; },{},{}",Headgears 3
